Student_ID,Math_Marks,Physics_Marks,Chemistry_Marks,Attendance_Percentage,Daily_Study_Hours,Previous_Sem_Result
1,78,72,75,88,2.5,Pass
2,45,50,48,70,1.5,Fail
3,90,85,88,95,4.0,Pass
4,60,58,62,80,2.0,Pass
5,35,40,42,60,1.0,Fail
6,82,78,80,90,3.5,Pass
7,55,52,50,75,1.8,Pass
8,68,65,70,85,2.6,Pass
9,92,90,94,98,4.5,Pass
10,40,38,45,65,1.2,Fail
11,73,70,68,82,2.4,Pass
12,58,60,55,78,2.0,Pass
13,47,45,50,72,1.6,Fail
14,85,82,80,92,3.8,Pass
15,62,64,60,80,2.2,Pass
16,39,42,40,62,1.1,Fail
17,88,86,84,94,4.1,Pass
18,66,68,65,83,2.5,Pass
19,52,50,48,74,1.9,Fail
20,91,89,90,96,4.3,Pass
21,70,72,68,85,2.7,Pass
22,44,46,45,68,1.4,Fail
23,83,80,82,91,3.6,Pass
24,59,57,60,79,2.1,Pass
25,36,38,40,61,1.0,Fail
26,76,74,72,87,2.8,Pass
27,54,56,55,76,1.9,Pass
28,69,67,70,84,2.6,Pass
29,93,91,92,97,4.6,Pass
30,41,43,40,66,1.3,Fail
31,74,72,75,86,2.9,Pass
32,57,55,58,77,2.0,Pass
33,46,48,45,71,1.5,Fail
34,86,84,82,93,3.9,Pass
35,63,65,62,81,2.3,Pass
36,38,40,42,63,1.1,Fail
37,89,87,85,95,4.2,Pass
38,67,69,66,83,2.5,Pass
39,51,49,50,73,1.8,Fail
40,92,90,91,97,4.4,Pass
41,71,73,70,86,2.8,Pass
42,43,45,44,69,1.4,Fail
43,84,82,83,92,3.7,Pass
44,58,60,59,78,2.1,Pass
45,37,39,38,60,1.0,Fail
46,77,75,73,88,2.9,Pass
47,55,53,54,75,1.9,Pass
48,68,66,69,84,2.6,Pass
49,94,92,93,98,4.7,Pass
50,42,44,43,67,1.3,Fail
51,72,70,71,85,2.7,Pass
52,48,50,49,72,1.6,Fail
53,81,79,80,90,3.4,Pass
54,61,59,60,80,2.2,Pass
55,34,36,35,59,0.9,Fail
56,79,77,78,89,3.1,Pass
57,56,58,57,76,2.0,Pass
58,69,71,70,84,2.7,Pass
59,95,93,94,99,4.8,Pass
60,40,42,41,65,1.2,Fail
61,73,75,72,86,2.8,Pass
62,49,47,48,71,1.6,Fail
63,82,80,81,91,3.5,Pass
64,60,62,61,79,2.2,Pass
65,35,37,36,60,1.0,Fail
66,78,76,77,88,3.0,Pass
67,54,52,53,75,1.9,Pass
68,67,65,66,83,2.5,Pass
69,93,91,92,97,4.6,Pass
70,41,43,42,66,1.3,Fail
71,74,72,73,86,2.9,Pass
72,57,55,56,77,2.0,Pass
73,46,44,45,70,1.5,Fail
74,85,83,84,92,3.8,Pass
75,62,64,63,81,2.3,Pass
76,38,40,39,62,1.1,Fail
77,88,86,87,95,4.2,Pass
78,66,68,67,83,2.5,Pass
79,52,50,51,74,1.8,Fail
80,91,89,90,96,4.3,Pass
81,70,72,71,85,2.7,Pass
82,44,46,45,68,1.4,Fail
83,83,81,82,91,3.6,Pass
84,59,61,60,79,2.1,Pass
85,36,38,37,61,1.0,Fail
86,76,74,75,87,2.8,Pass
87,55,57,56,76,2.0,Pass
88,68,66,67,84,2.6,Pass
89,94,92,93,98,4.7,Pass
90,42,44,43,67,1.3,Fail
91,72,74,73,86,2.8,Pass
92,48,46,47,72,1.6,Fail
93,81,79,80,90,3.4,Pass
94,61,63,62,80,2.2,Pass
95,34,36,35,59,0.9,Fail
96,79,77,78,89,3.1,Pass
97,56,58,57,76,2.0,Pass
98,69,71,70,84,2.7,Pass
99,95,93,94,99,4.8,Pass
100,40,42,41,65,1.2,Fail
